district,urban_rural,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,notes,deaths_lower_bound,injured_lower_bound,motive_tags,motive_basis,evidence_level,official_occurrence,official_classification,classification_evidence,id,date,date_precision,title,province,city,scene,method,category,classification_reason,source_ids,field_sources,reported_date,review_year,dating_note,review_batch,injured_reported,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,motive_themes,verification_gaps,social_source_urls,year,month,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,classification_evidence_basis,demographics_asof,demographics_basis,driver_deaths
,,,,,,,,,,,,,,,,,,,,,,2026-02-16,具名指控不转化为已认定犯罪；不保存私宅位置。,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A05,,unknown,网传郴州德润龙庭开发商车辆冲撞业主事件,湖南,郴州,社区住宅,驾车,pending,举报指向开发商与维权业主一家，尚无无关公众目标证据；事件细节、故意性、处罚决定未取得独立核实。,"[""LXS26A09"", ""LXS26A10"", ""LXS26A01""]","{""date"": [], ""location"": [""LXS26A09"", ""LXS26A10""], ""casualties"": [], ""classification"": [""LXS26A09"", ""LXS26A10""], ""motive"": [], ""outcome"": []}",2026-02-12,2026,原帖为举报投稿，未写案发日；汇总把发帖日写成2月12日，不据此定年或月。,2026-X补查,,,,,,,,,[],举报指向开发商与维权业主一家，尚无无关公众目标证据；事件细节、故意性、处罚决定未取得独立核实。,"[""https://x.com/whyyoutouzhele/status/2021957529614659891"", ""https://x.com/whyyoutouzhele/status/2023245955009818757"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",,,,待核实,False,False,False,0,0,,,,
,,,,,,,,投稿称1死与精神病，均不录为确认字段。,,,,,,,,,,,,,,2026-02-21,,,,[],未知,网传待核,False,False,网传线索，未独立核实,LX26A06,,unknown,网传开封街头一男子遭持刀袭击,河南,开封,街道交通,持械,pending,原帖仅有近日的网络影像描述；日期、被害关系、死伤及故意袭击背景均未核实。,"[""LXS26A11"", ""LXS26A01""]","{""date"": [], ""location"": [""LXS26A11""], ""casualties"": [], ""classification"": [""LXS26A11""], ""motive"": [], ""outcome"": []}",2026-02-21,2026,原帖只写近日，汇总2月21日是发帖日而非已核案发日。,2026-X补查,,,,,,,,,[],原帖仅有近日的网络影像描述；日期、被害关系、死伤及故意袭击背景均未核实。,"[""https://x.com/whyyoutouzhele/status/2025057897718124649"", ""https://x.com/whyyoutouzhele/status/2039625155404509246""]",,,,待核实,False,False,False,0,0,,,,
西城,,1,14,,,,2019-06-13,,,无关顾客和员工,,男,,法院认定为发泄个人不满情绪，具体不满事项未披露。,,,法院认定事前踩点并准备工具，未见事前被外界发现的证据。,警方到场后对峙并将其制服。,一审死刑；本轮未找到后续执行公告。,2019-06-13,,2019-06-13,,,,"[""泄愤""]",法院认定,官方转载,True,True,官方事实直接支持；法院查明预谋到繁华公共场所杀害无辜群众，实际攻击顾客和员工，官方描述直接支持针对无关公众。,A001,2018-02-11,day,北京西单大悦城持械袭击,北京,北京,商业场所,持械,core,法院认定预谋到繁华公共场所杀害无辜群众，受害人为餐厅顾客、员工。,"[""AS001""]","{""date"": [""AS001""], ""location"": [""AS001""], ""casualties"": [""AS001""], ""classification"": [""AS001""], ""motive"": [""AS001""], ""outcome"": [""AS001""]}",,,,,,,,,,,,,"[""泄愤／转移报复""]",,,2018,2018-02,2018-Q1,核心,True,True,True,1,14,,,,
,,1,1,,,,2020-04-17,,,前女友及其孪生姐姐,,男,,分手后预谋报复。,,,,,一审死刑。,2020-04-10,,2020-04-17,,,,"[""感情纠纷""]",法院认定,官方转载,True,False,媒体调查／研究推断,A043,2018-03-20,day,厦门王某定向袭击前女友及其姐姐（排除）,福建,厦门,社区住宅,持械,excluded,预先选择前女友和其孪生姐姐报复，非现场随机选择；即使法院称被害人无辜，也不等于对象不特定。,"[""AS029""]","{""date"": [""AS029""], ""location"": [""AS029""], ""casualties"": [""AS029""], ""classification"": [""AS029""], ""motive"": [""AS029""], ""outcome"": [""AS029""]}",,,,,,,,,,,,,"[""婚姻／家庭／感情问题""]",,,2018,2018-03,2018-Q1,排除,False,True,True,1,1,,,,
兴宁,,1,3,,,,2018-04-17,,True,报道为路过母婴和两名劝阻群众,,男,,,,,,群众阻止；当日16时警方已控制嫌疑人。,被控制；未找到判决。,,,2018-04-17,未将目击者估计年龄和初步精神异常推测当作确证。,,,[],未知,单一媒体,False,False,媒体调查／研究推断,A002,2018-04-16,day,南宁昆仑大道大乌村路口袭击,广西,南宁,街道交通,持械,pending,警方证实事件和伤亡；无故袭击路过母婴的依据为广西新闻频道一次现场调查，两转载不作独立多源，待补裁判或第二独立报道。,"[""AS002"", ""AS003""]","{""date"": [""AS002"", ""AS003""], ""location"": [""AS002"", ""AS003""], ""casualties"": [""AS002"", ""AS003""], ""classification"": [""AS002"", ""AS003""], ""motive"": [], ""outcome"": [""AS002"", ""AS003""]}",,,,,,,,,,,,,[],,,2018,2018-04,2018-Q2,待核实,False,True,False,1,3,,,,
英德,,18,,1,,,2019-12-25,采用18名受害人死亡。伤者存在3名与4名的司法表述差异，精确值留空，最低已知3名；不直接沿用初报5伤。,,,,男,,最高法概述个人琐事不满；案情回顾指交往受拒、交易争执后愤怒。,,,报道提到事前扬言烧毁KTV，同行朋友曾阻拦。,朋友阻止未果；当日被抓获。,死刑并已执行。,,2019-12-24,2019-12-25,,,3,"[""人际纠纷"", ""泄愤""]",法院认定,官方转载,True,False,官方确认发生；随机性／扩大关系含研究解释；法院材料明确个人纠纷后在KTV纵火及群体伤亡，但现有摘录未明确原始攻击对象、受害关系及扩大过程；归为纠纷扩大包含研究者根据场景的解释。只降低官方分类敏感性标签，不否定纵火事实。,A003,2018-04-24,day,英德KTV纵火,广东,清远,商业场所,纵火,expanded,KTV内个人交往和交易纠纷后放火，危及大量与原纠纷无关的场所人员。,"[""AS004""]","{""date"": [""AS004""], ""location"": [""AS004""], ""casualties"": [""AS004""], ""classification"": [""AS004""], ""motive"": [""AS004""], ""outcome"": [""AS004""]}",,,,,最高法复核列1重伤2轻伤；同篇前期案情另列1轻微伤。,,,,,,,,"[""其他已披露背景"", ""泄愤／转移报复""]",,,2018,2018-04,2018-Q2,纠纷扩大,False,True,True,18,3,,,,
米脂,,9,12,4,,,2018-09-27,法院后续口径为9死12伤，取代初报9死10伤；部分汇编9死19伤不采。,True,无关在校学生,,男,,工作生活挫折和对就读时被欺负的怨恨，转为报复无关学生。,,,,教师、保安及学生合力制止。,死刑并已执行。,2018-07-10,2018-09-27,2018-09-27,,,,"[""生活挫折"", ""转移报复""]",法院认定,官方转载,True,True,官方事实直接支持；法院明确未找到旧同学后改为袭击放学学生，原怨恨对象与实际受害者分离。,A004,2018-04-27,day,米脂三中周边持刀袭击学生,陕西,榆林,校园及周边,持械,core,法院明确原怨恨对象未找到，改为袭击与原纠纷无关的放学学生。,"[""AS005"", ""AS006""]","{""date"": [""AS005"", ""AS006""], ""location"": [""AS005"", ""AS006""], ""casualties"": [""AS005"", ""AS006""], ""classification"": [""AS005"", ""AS006""], ""motive"": [""AS005"", ""AS006""], ""outcome"": [""AS005"", ""AS006""]}",,,,,,,,,,,,,"[""泄愤／转移报复"", ""生活受挫／疏离／厌世""]",,,2018,2018-04,2018-Q2,核心,True,True,True,9,12,,,,
,,0,3,,,,2018-05-14,3名伤者在通报时伤情稳定。,,参与阻止的群众、辅警、交通劝导员,62,男,,,,,,,被采取刑事强制措施；未检出裁判。,,,2018-05-14,,,,[],未知,官方转载,True,False,媒体调查／研究推断,A005,2018-05-13,day,成都盐市口车辆冲撞,四川,成都,街道交通,驾车,pending,已证实冲撞及涉嫌危害公共安全，但通报未明确主动以无关行人为攻击目标，不仅凭罪名纳入。,"[""AS007""]","{""date"": [""AS007""], ""location"": [""AS007""], ""casualties"": [""AS007""], ""classification"": [""AS007""], ""motive"": [], ""outcome"": [""AS007""]}",,,,,,,,,,,,,[],,,2018,2018-05,2018-Q2,待核实,False,True,False,0,3,,,,
路北,,7,10,2,,,2019-06-12,,,道路行人,,男,,,,,,,死刑二审维持；未检出执行公告。,2019-06-12,,2019-06-12,饮酒属于已报道状态，具体报复动机不明，留空。,,,[],未知,官方转载,True,False,官方确认发生；随机性／扩大关系含研究解释；法院明确故意、连续冲撞多名行人，足以确认攻击发生与故意性；现有材料未明确随机选择或受害人与嫌犯的关系。核心主分析保留，严格官方分类敏感性按研究解释处理。,A006,2018-06-06,day,唐山煤医道等路段故意驾车撞人,河北,唐山,街道交通,驾车,core,法院查明故意连续冲撞多名行人，非仅依据交通事故伤亡人数判断。,"[""AS008""]","{""date"": [""AS008""], ""location"": [""AS008""], ""casualties"": [""AS008""], ""classification"": [""AS008""], ""motive"": [], ""outcome"": [""AS008""]}",,,,,,,,,,,,,[],,,2018,2018-06,2018-Q2,核心,False,True,False,7,10,,,,
未央,,4,7,0,,,2019-01-26,采用法院4死7轻伤，初报口径已被替代。,,,,男,,自称在公交车遭恶意扎针染病，因而产生报复社会念头；所谓扎针染病不是已证实事实。,,,,,一审死刑；本轮未核实后续执行。,2019-01-25,,2019-01-26,,,,"[""报复社会"", ""被害归因""]",法院认定,官方原文,True,True,官方事实直接支持；法院认定报复社会，连续攻击公交乘客及车外路人，官方披露的对象与行为过程支持公众目标。,A007,2018-06-22,day,西安302路公交车及周边持刀袭击,陕西,西安,公共交通,持械,core,法院认定报复社会，在公交车内及车外连续攻击乘客和路人。,"[""AS009""]","{""date"": [""AS009""], ""location"": [""AS009""], ""casualties"": [""AS009""], ""classification"": [""AS009""], ""motive"": [""AS009""], ""outcome"": [""AS009""]}",,,,,,,,,,,,,"[""其他已披露背景"", ""泄愤／转移报复""]",,,2018,2018-06,2018-Q2,核心,True,True,True,4,7,,,,
