id,date,date_precision,title,province,city,district,urban_rural,scene,method,category,classification_reason,deaths,injured,serious_injuries,attacker_deaths,attacker_injured,casualty_asof,casualty_note,involves_children,victim_relation,age,sex,occupation,motive_summary,motive_tags,motive_basis,mental_health,prior_violence,warning_signals,intervention,outcome,judgment_date,execution_date,last_source_date,evidence_level,source_ids,field_sources,notes,injured_reported,injured_lower_bound,deaths_lower_bound,series_id,additional_collision_injured,response_injured,event_total_injured_reported,motive_attribution,date_time,continuous_attack,official_occurrence,official_classification,classification_evidence,motive_themes,year,quarter,category_label,official,same_period,motive_known,deaths_min,injured_min,classification_evidence_basis
A043,2018-03-20,day,厦门王某定向袭击前女友及其姐姐（排除）,福建,厦门,,,社区住宅,持械,excluded,预先选择前女友和其孪生姐姐报复，非现场随机选择；即使法院称被害人无辜，也不等于对象不特定。,1,1,,,,2020-04-17,,,前女友及其孪生姐姐,,男,,分手后预谋报复。,"[""感情纠纷""]",法院认定,,,,,一审死刑。,2020-04-10,,2020-04-17,官方转载,"[""AS029""]","{""date"": [""AS029""], ""location"": [""AS029""], ""casualties"": [""AS029""], ""classification"": [""AS029""], ""motive"": [""AS029""], ""outcome"": [""AS029""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,"[""婚姻／家庭／感情问题""]",2018,2018-Q1,排除,False,True,True,1,1,
A002,2018-04-16,day,南宁昆仑大道大乌村路口袭击,广西,南宁,兴宁,,街道交通,持械,pending,警方证实事件和伤亡；无故袭击路过母婴的依据为广西新闻频道一次现场调查，两转载不作独立多源，待补裁判或第二独立报道。,1,3,,,,2018-04-17,,True,报道为路过母婴和两名劝阻群众,,男,,,[],未知,,,,群众阻止；当日16时警方已控制嫌疑人。,被控制；未找到判决。,,,2018-04-17,单一媒体,"[""AS002"", ""AS003""]","{""date"": [""AS002"", ""AS003""], ""location"": [""AS002"", ""AS003""], ""casualties"": [""AS002"", ""AS003""], ""classification"": [""AS002"", ""AS003""], ""motive"": [], ""outcome"": [""AS002"", ""AS003""]}",未将目击者估计年龄和初步精神异常推测当作确证。,,,,,,,,,,,False,False,媒体调查／研究推断,[],2018,2018-Q2,待核实,False,True,False,1,3,
A005,2018-05-13,day,成都盐市口车辆冲撞,四川,成都,,,街道交通,驾车,pending,已证实冲撞及涉嫌危害公共安全，但通报未明确主动以无关行人为攻击目标，不仅凭罪名纳入。,0,3,,,,2018-05-14,3名伤者在通报时伤情稳定。,,参与阻止的群众、辅警、交通劝导员,62,男,,,[],未知,,,,,被采取刑事强制措施；未检出裁判。,,,2018-05-14,官方转载,"[""AS007""]","{""date"": [""AS007""], ""location"": [""AS007""], ""casualties"": [""AS007""], ""classification"": [""AS007""], ""motive"": [], ""outcome"": [""AS007""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2018,2018-Q2,待核实,False,True,False,0,3,
A045,2018-07-05,day,隆回南松村持刀伤人,湖南,邵阳,隆回,,社区住宅,持械,pending,官方通报多人伤亡但未明确动机及被害人与嫌疑人关系，不能仅以有儿童受害认定随机。,1,6,,,,2018-07-05,通报7名被砍者中1名死亡，因此幸存受伤6人；不将7伤再加1死。,True,,40,男,,,[],未知,,警方通报有故意伤害前科。,,,逃离后被抓获。,,,2018-07-05,官方转载,"[""AS049""]","{""date"": [""AS049""], ""location"": [""AS049""], ""casualties"": [""AS049""], ""classification"": [""AS049""], ""motive"": [], ""outcome"": [""AS049""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2018,2018-Q3,待核实,False,True,False,1,6,
A014,2018-10-28,day,重庆万州公交车坠江（排除）,重庆,重庆,万州,,公共交通,驾车,excluded,官方查明由司机与乘客争执互殴导致车辆失控，缺少主动以无关乘客为攻击目标的证据。,,,,,,2018-11-02,通报明确15名驾乘人员、打捞13名遗体；与随机袭击统计隔离，不把失联直接转换为精确死亡。,,司机与争执乘客、其他乘客,,,,坐过站后的争执与互殴。,"[""乘车纠纷""]",警方初步通报,,,,,双方均涉嫌危害公共安全；官方调查原因已公布。,,,2018-11-02,官方转载,"[""AS017""]","{""date"": [""AS017""], ""location"": [""AS017""], ""casualties"": [""AS017""], ""classification"": [""AS017""], ""motive"": [""AS017""], ""outcome"": [""AS017""]}",,,,13,,,,,,,,True,False,媒体调查／研究推断,"[""其他已披露背景""]",2018,2018-Q4,排除,False,False,True,13,0,
A019,2019-01-14,day,东莞虎门怀德社区持刀伤人,广东,东莞,虎门镇,,街道交通,持械,pending,警方确认发生，但本轮可靠资料未明确受害者与嫌疑人关系及选择目标方式。,1,8,,,,2019-01-15,2人伤情较重、6人较轻为初报临床描述。,,,,男,,,[],未知,,,,,被抓获；具体原因在调查。,,,2019-01-15,官方转载,"[""AS022""]","{""date"": [""AS022""], ""location"": [""AS022""], ""casualties"": [""AS022""], ""classification"": [""AS022""], ""motive"": [], ""outcome"": [""AS022""]}",不因排除涉恐或多人受害自动认定随机。,,,,,,,,,,,True,False,媒体调查／研究推断,[],2019,2019-Q1,待核实,False,True,False,1,8,
A046,2019-02-05,day,会宁多户村民住宅伤人,甘肃,白银,会宁,,社区住宅,持械,pending,警方初报指婚姻猜疑下定向进入村民家报复；是否涉及无关对象未充分披露，不按多人伤亡认定随机，也不武断将全案排除。,8,7,,,,2019-02-08,,True,村民家庭，多户具体关系未完全核实,,男,,警方转述供述：怀疑妻子与他人存在不正当关系而报复。,"[""婚姻纠纷""]",警方初步通报,,,,,当日被抓获；未取得裁判。,,,2019-02-08,官方转载,"[""AS050""]","{""date"": [""AS050""], ""location"": [""AS050""], ""casualties"": [""AS050""], ""classification"": [""AS050""], ""motive"": [""AS050""], ""outcome"": [""AS050""]}",媒体转述的邻里纠纷、家暴、纵火需裁判佐证；不将其直接扩展为已查明案情。,,,,,,,,,,,True,False,媒体调查／研究推断,"[""其他已披露背景""]",2019,2019-Q1,待核实,False,True,True,8,7,
A021,2019-02-21,day,吉安韶山西路学校周边持刀伤人,江西,吉安,吉州,,校园及周边,持械,pending,警方确认事件及11伤；无关路人、随机选择方式主要见媒体叙述，尚未检出明确官方性质认定或两家独立原始调查。,0,11,,,,2019-02-21,,True,学生、辅警及路人，关系细节未披露,33,男,,,[],未知,警方转述家属称有精神病治疗史，未见司法鉴定。,,,执勤民警和群众迅速控制。,被控制；后续司法处置未核实。,,,2019-02-21,官方转载,"[""AS024"", ""AS025""]","{""date"": [""AS024"", ""AS025""], ""location"": [""AS024"", ""AS025""], ""casualties"": [""AS024"", ""AS025""], ""classification"": [""AS024"", ""AS025""], ""motive"": [], ""outcome"": [""AS024"", ""AS025""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,[],2019,2019-Q1,待核实,False,True,False,0,11,
A047,2019-02-26,day,平顶山财经学校同学纠纷伤人（排除）,河南,平顶山,,,校园及周边,持械,excluded,警方及采访表明系与特定同学的既有矛盾，未见扩大到无关学生证据。,1,3,,,,2019-03-01,,,有既往矛盾的同班同学,,男,学生,同学间矛盾。,"[""同学纠纷""]",警方初步通报,,,,,被抓获。,,,2019-03-01,官方转载,"[""AS051""]","{""date"": [""AS051""], ""location"": [""AS051""], ""casualties"": [""AS051""], ""classification"": [""AS051""], ""motive"": [""AS051""], ""outcome"": [""AS051""]}",,,,,,,,,,,,True,False,媒体调查／研究推断,"[""其他已披露背景""]",2019,2019-Q1,排除,False,True,True,1,3,
A022,2019-03-14,day,唐山丰润光华道小学周边伤害学生,河北,唐山,丰润,,校园及周边,持械,pending,本轮仅获取媒体对通报的转述及网传人数，随机性和完整伤亡需再核，不把17人作为确数。,,,,,,2019-03-14,,True,,54,男,,,[],未知,,,,,报道引述警方称嫌疑人已控制。,,,2019-03-14,单一媒体,"[""AS026""]","{""date"": [""AS026""], ""location"": [""AS026""], ""casualties"": [""AS026""], ""classification"": [""AS026""], ""motive"": [], ""outcome"": [""AS026""]}",12月开庭存在二手汇编线索，尚未取得原法院公告，未记录判决。,受伤学生人数未由已核对官方材料明确；网传17人不采入精确字段。,,,,,,,,,,False,False,媒体调查／研究推断,[],2019,2019-Q1,待核实,False,True,False,0,0,
