field,label,definition
id,事件编号,空值表示未查得/无法确定，不能按0解释。
date,案发日期,空值表示未查得/无法确定，不能按0解释。
date_precision,日期精度,空值表示未查得/无法确定，不能按0解释。
title,事件名称,空值表示未查得/无法确定，不能按0解释。
province,省级地区,空值表示未查得/无法确定，不能按0解释。
city,城市,空值表示未查得/无法确定，不能按0解释。
district,区县,空值表示未查得/无法确定，不能按0解释。
urban_rural,城乡属性,空值表示未查得/无法确定，不能按0解释。
scene,场景,空值表示未查得/无法确定，不能按0解释。
method,方式,空值表示未查得/无法确定，不能按0解释。
category,分类代码,核心core；扩展新增expanded；待核pending；排除excluded；恐袭organized_terror另列。
classification_reason,分类依据,空值表示未查得/无法确定，不能按0解释。
deaths,受害者死亡,公开可核实的受害者死亡人数，作案者死亡另列。
injured,受害者受伤,受害者受伤人数，尽可能采用最新结局；作案者另列；不含已转死亡者；若来源不能证明去重则详见casualty_note。
injured_reported,受伤原口径,空值表示未查得/无法确定，不能按0解释。
injured_lower_bound,受伤保守下限,空值表示未查得/无法确定，不能按0解释。
deaths_lower_bound,死亡保守下限,空值表示未查得/无法确定，不能按0解释。
serious_injuries,重伤,空值表示未查得/无法确定，不能按0解释。
attacker_deaths,作案者死亡,空值表示未查得/无法确定，不能按0解释。
attacker_injured,作案者受伤,空值表示未查得/无法确定，不能按0解释。
casualty_asof,伤亡口径日期,空值表示未查得/无法确定，不能按0解释。
casualty_note,伤亡修订说明,空值表示未查得/无法确定，不能按0解释。
involves_children,涉及儿童,空值表示未查得/无法确定，不能按0解释。
victim_relation,受害者关系,空值表示未查得/无法确定，不能按0解释。
age,作案者年龄,空值表示未查得/无法确定，不能按0解释。
sex,性别,空值表示未查得/无法确定，不能按0解释。
occupation,职业状态,空值表示未查得/无法确定，不能按0解释。
motive_summary,动机摘要,空值表示未查得/无法确定，不能按0解释。
motive_tags,动机标签,空值表示未查得/无法确定，不能按0解释。
motive_basis,动机证据层级,法院认定/警方初步通报/检方指控/外交渠道转述法院/媒体调查/官方事迹/未知；不同层级不互换。
mental_health,精神健康证据,空值表示未查得/无法确定，不能按0解释。
prior_violence,既往暴力记录,空值表示未查得/无法确定，不能按0解释。
warning_signals,事前威胁线索,空值表示未查得/无法确定，不能按0解释。
intervention,干预与现场处置,空值表示未查得/无法确定，不能按0解释。
outcome,司法及处置结果,空值表示未查得/无法确定，不能按0解释。
judgment_date,判决日期,空值表示未查得/无法确定，不能按0解释。
execution_date,执行日期,空值表示未查得/无法确定，不能按0解释。
last_source_date,最后来源日期,空值表示未查得/无法确定，不能按0解释。
evidence_level,事件证据等级,空值表示未查得/无法确定，不能按0解释。
source_ids,来源编号,空值表示未查得/无法确定，不能按0解释。
field_sources,分字段来源,日期、地点、伤亡、分类、动机、处置及人口特征分别对应来源ID；应回查来源正文与关键事实摘要。
series_id,关联系列,同一作案系列的关联编号；件数不等于独立作案者人数。
notes,补充说明,空值表示未查得/无法确定，不能按0解释。
additional_collision_injured,故意性未明的碰撞伤者,空值表示未查得/无法确定，不能按0解释。
response_injured,警方处置伤者,空值表示未查得/无法确定，不能按0解释。
event_total_injured_reported,事件总伤者原口径,空值表示未查得/无法确定，不能按0解释。
motive_attribution,动机归因说明,空值表示未查得/无法确定，不能按0解释。
date_time,已核实案发时间,少数案件可核实到时间，ISO8601含中国时区+08:00；未知为空，不以报道时间填补。
continuous_attack,连续袭击过程,明确为同一连续过程时为true；未核实为空。跨时段重新启动的袭击独立计件，即使在同一天。
official_occurrence,发生获官方确认,事件发生是否获官方原文或可靠完整转载支持，不代表官方确认随机性。
official_classification,官方材料直接支持分类,严格敏感性标记：官方材料的事实直接支持随机/扩大关系。媒体采集、外交渠道转述及研究推断另层，不计此子集。
classification_evidence,分类证据分层说明,分类所依赖的事实层与研究解释，避免将媒体判断误写成官方定性。
motive_themes,动机归并主题,研究编码，按work/motive_taxonomy.json归并原始标签；允许多标签，非独立新增事实。
review_batch,补查批次,空值表示未查得/无法确定，不能按0解释。
verification_gaps,尚缺的核验要素,待核实记录尚缺的要素；未另写时引用分类依据中的核验限制。
social_source_urls,社交平台原帖链接,由逐案关联来源中的X/Twitter原帖链接归并得到；镜像不新增独立证据。
reported_date,线索发布日,原线索发布日；不自动代替案发日。
review_year,补查所属年份（非案发年）,补查队列所属年；不同于案发年。案发日未知的社媒投稿可归入2026补查，不能计入按案发日的年/月统计。
dating_note,案发日期核验说明,案发日期精度、发帖与接报警时间差异，以及尚缺证据。
