province,year,population_10k,urbanization_pct,income_yuan,unemployment_pct,population_source,urbanization_source,income_source,unemployment_note,events,deaths_known_total,deaths_lower_total,deaths_unknown_events,injured_known_total,injured_lower_total,injured_unknown_events,records_per_million,no_record_means,employed_10k,tertiary_employed_10k,tertiary_employment_pct,employment_source
北京,2018,2192,87.09,62361,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,2,1,1,0,16,16,0,0.09124087591240876,公开核实记录,,,,
北京,2019,2190,87.35,67756,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,1,0,0,0,20,20,0,0.04566210045662101,公开核实记录,,,,
北京,2020,2189,87.55,69434,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
北京,2021,2189,87.5,75002,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
北京,2022,2184,87.57,77415,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
北京,2023,2186,87.83,81752,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
北京,2024,2183,88.22,85415,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,1,0,0,0,5,5,0,0.04580852038479157,公开核实记录,1118,917,82.02146690518784,R_NBS_EMPLOYMENT
天津,2018,1383,83.95,39506,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
天津,2019,1385,84.31,42404,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
天津,2020,1387,84.7,43854,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,1,1,1,0,0,0,1,0.07209805335255949,公开核实记录,,,,
天津,2021,1373,84.88,47449,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
天津,2022,1363,85.11,48976,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
天津,2023,1364,85.49,51271,,R_NBS_POP,R_NBS_URBAN,R_NBS_INCOME,未获取同口径省级连续面板；不以登记失业率替代调查失业率,0,0,0,0,0,0,0,0.0,未检出，不代表实际零发生,,,,
