id,url,title,publisher,published_date,accessed_date,type,independence_group,supports,key_facts,body_checked,provenance_note,access_status,replacement_support,note
AS001,http://society.people.com.cn/n1/2019/0613/c1008-31135544.html,北京西单大悦城命案被告人一审被判死刑,新华社／人民网,2019-06-13,2026-09-16,法院,AS001,"[""A001""]",北京二中院查明朱纪业因个人不满，预谋后在西单大悦城攻击顾客和员工，造成1死14伤；2019年6月13日一审判处死刑。,True,,,,
AS002,https://www.sohu.com/a/228431719_253235,南宁一男子持刀砍人致1死3伤,广西新闻频道／黄河新闻网吕梁搜狐号,2018-04-16,2026-09-16,官方媒体,GXTV20180416,"[""A002""]",完整引述南宁兴宁警方通报1死3伤；记者及目击者称攻击路过母婴及两名阻止者。,True,,,,
AS003,https://www.jiemian.com/article/2059754.html,广西南宁男子当街持刀行凶 砍杀无辜路人致一死三伤,广西新闻频道／界面新闻,2018-04-17,2026-09-16,官方媒体,GXTV20180416,"[""A002""]",记者现场核查陌生人袭击母婴及劝阻群众，1死3伤；警方下午4时通报嫌疑人已受控。页面原发4月16日、更新4月17日。,True,,,,
AS004,https://appimg.modaily.cn/app/szb/pc/content/201912/25/content_18298.html,英德特大放火案罪犯伏法,澳门日报（中新社、中通社）,2019-12-25,2026-09-16,法院,AS004,"[""A003""]",最高法复核认定18死、1重伤2轻伤，2019年12月24日执行死刑；同篇回顾前期案件另列1轻微伤。由KTV内个人纠纷引发纵火。,True,,,,
AS005,https://www.guancha.cn/society/2018_09_27_473563.shtml,陕西米脂砍杀学生案罪犯赵泽伟被执行死刑,观察者网（陕西检察、榆林中院布告）,2018-09-27,2026-09-16,法院,AS005,"[""A004""]",榆林中院布告确认2018年4月27日袭击三中学生，9死12伤；2018年7月10日一审死刑，9月27日执行。,True,,,,
AS006,https://www.thepaper.cn/newsDetail_forward_2252877?commTag=true,陕西米脂致学生9死故意杀人案嫌犯赵泽伟一审被判死刑,澎湃新闻（陕西高院）,2018-07-10,2026-09-16,法院,AS006,"[""A004""]",法院认定工作生活不顺、怨恨旧同学，未找到旧同学后改为袭击放学学生；9死，4重伤7轻伤1轻微伤。,True,,,,
AS007,https://m.thepaper.cn/newsDetail_forward_2127886?commTag=true,成都再次通报致3人伤闹市车祸：六旬男涉危害公共安全被刑拘,封面新闻／澎湃新闻,2018-05-14,2026-09-16,公安,AS007,"[""A005""]",成都警方通报5月13日人民东路事件，62岁姚某某涉嫌危险方法危害公共安全，3名阻止者受伤且稳定。,True,,,,
AS008,https://news.sina.com.cn/c/2019-06-12/doc-ihvhiews8424729.shtml,致7死 河北唐山煤医道撞人案二审维持死刑原判,新京报／新浪（唐山中院、唐山检察院）,2019-06-12,2026-09-16,法院,AS008,"[""A006""]",刘某某2018年6月6日酒后驾车故意冲撞多名行人，7死10伤（2重3轻5轻微），2018年11月28日一审死刑，二审维持。,True,,,,
AS009,https://www.spp.gov.cn/spp/gxcxjxfdhmjcgzzwn/201901/t20190126_580457.shtml,西安“6·22公交杀人案”凶犯被判死刑,检察日报／最高人民检察院,2019-01-26,2026-09-16,检察院,AS009,"[""A007""]",法院认定辛海平自称公交车上遭恶意扎针染病，报复乘客和路人，4死7轻伤；1月25日一审死刑。,True,,,,
AS010,https://www.yantai.gov.cn/art/2018/6/25/art_44443_2893743.html,烟台市公安局“6.25”叉车伤人事件舆情处置情况,烟台市政府（市公安局）,2018-06-25,2026-09-16,公安,AS010,"[""A008""]",警方通报45岁王志华驾驶叉车在幸福中路冲撞行人，造成1死10余伤，制止无效后被开枪击毙。,True,,,,
AS011,https://www.fjdaily.com/app/content/2020-12/03/content_880973.html,上海浦北路杀害小学生案罪犯黄一川被执行死刑,福建日报（上海一中院）,2020-12-03,2026-09-16,法院,AS011,"[""A009""]",黄一川因工作生活不顺，为泄私愤在上海浦北路袭击无辜儿童及家长，2死2轻伤；2020年12月3日执行死刑。,True,,,,
AS012,https://www.chinanews.com/m/sh/2018/08-21/8606061.shtml,江苏镇江一男子持刀砍伤5人被抓获 伤者暂无生命危险,中国新闻网,2018-08-21,2026-09-16,公安,AS012,"[""A010""]",镇江润州警方：8月20日百盛家园南门附近，张某持菜刀伤害5名路人，被抓获；5人无生命危险。,True,,,,
AS013,https://www.jiemian.com/article/2834177.html,“路虎撞人致15死案”罪犯阳赞云今日被执行死刑,界面新闻（湖南高院）,2019-01-29,2026-09-16,法院,AS013,"[""A011""]",法院认定阳赞云在衡东洣江广场驾车撞击、下车持械攻击人群，15死43伤，2018年12月12日一审死刑，2019年1月29日执行。,True,,,,
